code,name,category,default_unit,typical_quantity_per_ha,estimated_cost_per_unit
NPK,NPK Fertilizer (23:10:5),Compound,50kg_bags,4-10 bags,450
UREA,Urea (46% N),Nitrogen,50kg_bags,2-8 bags,420
CAN,Calcium Ammonium Nitrate,Nitrogen,50kg_bags,2-6 bags,400
DAP,Di-Ammonium Phosphate,Phosphorus,50kg_bags,2-6 bags,480
LIME,Agricultural Lime,Soil Amendment,tonnes,1-3 tonnes,800
COMPOST,Compost,Organic,tonnes,2-5 tonnes,300
MANURE,Animal Manure,Organic,tonnes,3-10 tonnes,150
GYPSUM,Gypsum,Soil Amendment,50kg_bags,2-4 bags,380
POTASH,Potassium Chloride,Potassium,50kg_bags,1-4 bags,500
FOLIAR,Foliar Fertilizer,Micronutrient,litres,5-20 litres,85
